NM_MUNICIPIO,DS_CARGO,DT_ELEICAO,NM_URNA_CANDIDATO,NM_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
LARANJAL DO JARI,Vereador,06/10/2024,VELHO,União Brasil,UNIÃO,435
LARANJAL DO JARI,Vereador,06/10/2024,ROSINHA,União Brasil,UNIÃO,45
LARANJAL DO JARI,Vereador,06/10/2024,MAILSON KALLAHARI,União Brasil,UNIÃO,66
LARANJAL DO JARI,Vereador,06/10/2024,TALITA SADALA,União Brasil,UNIÃO,127
LARANJAL DO JARI,Vereador,06/10/2024,WILKA BATISTA,União Brasil,UNIÃO,138
LARANJAL DO JARI,Vereador,06/10/2024,IARLEY SILVA,Partido Social Democrático,PSD,29
LARANJAL DO JARI,Vereador,06/10/2024,RUAN,Partido Social Democrático,PSD,2
LARANJAL DO JARI,Vereador,06/10/2024,SAMARA CONSELHEIRA,Partido Social Democrático,PSD,110
LARANJAL DO JARI,Vereador,06/10/2024,CLAUDIA ARROJADA ,Partido Social Democrático,PSD,5
LARANJAL DO JARI,Vereador,06/10/2024,GLACIMIR OLIVEIRA,Partido Social Democrático,PSD,16
LARANJAL DO JARI,Vereador,06/10/2024,CEGUINHO,Partido Social Democrático,PSD,16
LARANJAL DO JARI,Vereador,06/10/2024,JUNIOR MARQUES,Solidariedade,SOLIDARIEDADE,544
LARANJAL DO JARI,Vereador,06/10/2024,MANOEL POMBO,Solidariedade,SOLIDARIEDADE,642
LARANJAL DO JARI,Vereador,06/10/2024,THALITA CARDOSO,Solidariedade,SOLIDARIEDADE,130
LARANJAL DO JARI,Vereador,06/10/2024,DR EMIVALDO,Solidariedade,SOLIDARIEDADE,188
CUTIAS,Vereador,06/10/2024,RAYARA LOBATO,Partido dos Trabalhadores,PT,4
CUTIAS,Vereador,06/10/2024,MEL SARGES,Partido dos Trabalhadores,PT,116
CUTIAS,Vereador,06/10/2024,RONALDO PROPAGANDA,Partido dos Trabalhadores,PT,10
CUTIAS,Vereador,06/10/2024,JEANDRO COELHO ,Partido dos Trabalhadores,PT,26
CUTIAS,Vereador,06/10/2024,PRETO,Partido dos Trabalhadores,PT,6
CUTIAS,Vereador,06/10/2024,EVA PEREIRA,Partido Democrático Trabalhista,PDT,373
CUTIAS,Vereador,06/10/2024,PIRANHA,Partido Democrático Trabalhista,PDT,379
CUTIAS,Vereador,06/10/2024,GERDSON REIS ,Partido Democrático Trabalhista,PDT,251
CUTIAS,Vereador,06/10/2024,TISCA,Partido Democrático Trabalhista,PDT,104
CUTIAS,Vereador,06/10/2024,LEI FERREIRA,Partido Democrático Trabalhista,PDT,132
CUTIAS,Vereador,06/10/2024,DHENEFFE COSTA,Partido Democrático Trabalhista,PDT,13
CUTIAS,Vereador,06/10/2024,VANIA BRITO,Partido Democrático Trabalhista,PDT,244
CUTIAS,Vereador,06/10/2024,MAURO RAMOS,Partido Democrático Trabalhista,PDT,126
CUTIAS,Vereador,06/10/2024,VILI SOUTO,Partido Democrático Trabalhista,PDT,90
CUTIAS,Vereador,06/10/2024,BOCA,Partido Democrático Trabalhista,PDT,57
CUTIAS,Vereador,06/10/2024,PROFESSOR ELIZEU,Partido Liberal,PL,11
CUTIAS,Vereador,06/10/2024,ELLEN MIRANDA,Partido Liberal,PL,5
CUTIAS,Vereador,06/10/2024,BRIGADISTA GIL PALMERIM,Partido Liberal,PL,48
CUTIAS,Vereador,06/10/2024,DARA REIS,Partido Liberal,PL,19
CUTIAS,Vereador,06/10/2024,RAFAEL OLIVEIRA,Partido Liberal,PL,16
CUTIAS,Vereador,06/10/2024,THALITA COELHO,Partido Liberal,PL,65
CUTIAS,Vereador,06/10/2024,WILSON BRAZÃO,Partido Liberal,PL,86
CUTIAS,Vereador,06/10/2024,JÚNIOR MONTEIRO,Partido Liberal,PL,5
CUTIAS,Vereador,06/10/2024,HELTON TOLOSA,Partido Liberal,PL,41
CUTIAS,Vereador,06/10/2024,RONALDO DA TRANSPACUÍ,Partido Liberal,PL,53
CUTIAS,Vereador,06/10/2024,PIMPOLHO,União Brasil,UNIÃO,351
CUTIAS,Vereador,06/10/2024,MÁRCIO ROCHA,União Brasil,UNIÃO,490
CUTIAS,Vereador,06/10/2024,MÔNICA MIRA,União Brasil,UNIÃO,337
CUTIAS,Vereador,06/10/2024,ARINO,União Brasil,UNIÃO,19
CUTIAS,Vereador,06/10/2024,EDIVAN SANTOS,União Brasil,UNIÃO,336
CUTIAS,Vereador,06/10/2024,ILUÃ,União Brasil,UNIÃO,0
CUTIAS,Vereador,06/10/2024,VANUZA VAZ,União Brasil,UNIÃO,15
CUTIAS,Vereador,06/10/2024,DULCI AMARAL,União Brasil,UNIÃO,240
CUTIAS,Vereador,06/10/2024,PACHACO,União Brasil,UNIÃO,43
CUTIAS,Vereador,06/10/2024,EVA DO CRAS,União Brasil,UNIÃO,112
CUTIAS,Vereador,06/10/2024,LETÍCIA MIRA,Partido Social Democrático,PSD,358
CUTIAS,Vereador,06/10/2024,LICA MIRA,Partido Social Democrático,PSD,358
CUTIAS,Vereador,06/10/2024,MACLE LEITE,Partido Social Democrático,PSD,299
MACAPÁ,Prefeito,06/10/2024,GILVAM BORGES,AVANTE,AVANTE,438
MACAPÁ,Vereador,06/10/2024,CLAUDIOMAR ROSA ,Partido dos Trabalhadores,PT,1173
MACAPÁ,Vereador,06/10/2024,CLAUDIOMAR ROSA ,Partido dos Trabalhadores,PT,1484
MACAPÁ,Vereador,06/10/2024,PETRÓ,Partido dos Trabalhadores,PT,6
MACAPÁ,Vereador,06/10/2024,PETRÓ,Partido dos Trabalhadores,PT,24
MACAPÁ,Vereador,06/10/2024,MARCO NUNES,Partido dos Trabalhadores,PT,231
MACAPÁ,Vereador,06/10/2024,MARCO NUNES,Partido dos Trabalhadores,PT,183
MACAPÁ,Vereador,06/10/2024,PROF. DALVA MENEZES,Partido dos Trabalhadores,PT,15
MACAPÁ,Vereador,06/10/2024,PROF. DALVA MENEZES,Partido dos Trabalhadores,PT,3
MACAPÁ,Vereador,06/10/2024,FRANCE VIDAL,Partido dos Trabalhadores,PT,9
MACAPÁ,Vereador,06/10/2024,FRANCE VIDAL,Partido dos Trabalhadores,PT,4
MACAPÁ,Vereador,06/10/2024,LORENA QUINTAS,Partido dos Trabalhadores,PT,857
MACAPÁ,Vereador,06/10/2024,LORENA QUINTAS,Partido dos Trabalhadores,PT,389
MACAPÁ,Vereador,06/10/2024,PROFESSORA ANA CRISTINA,Partido dos Trabalhadores,PT,105
MACAPÁ,Vereador,06/10/2024,PROFESSORA ANA CRISTINA,Partido dos Trabalhadores,PT,262
MACAPÁ,Vereador,06/10/2024,ZÉ LUIZ,Partido dos Trabalhadores,PT,994
MACAPÁ,Vereador,06/10/2024,ZÉ LUIZ,Partido dos Trabalhadores,PT,1599
MACAPÁ,Vereador,06/10/2024,DADÁ,Partido dos Trabalhadores,PT,54
MACAPÁ,Vereador,06/10/2024,DADÁ,Partido dos Trabalhadores,PT,51
MACAPÁ,Vereador,06/10/2024,BIA MARTINS,Partido Verde,PV,643
MACAPÁ,Vereador,06/10/2024,BIA MARTINS,Partido Verde,PV,585
MACAPÁ,Vereador,06/10/2024,ROBERTO PIAPAU,Partido Verde,PV,13
MACAPÁ,Vereador,06/10/2024,ROBERTO PIAPAU,Partido Verde,PV,70
MACAPÁ,Vereador,06/10/2024,ELUARD RANGEL,Partido Verde,PV,45
MACAPÁ,Vereador,06/10/2024,ELUARD RANGEL,Partido Verde,PV,20
MACAPÁ,Vereador,06/10/2024,ENFERMEIRO TYAGO,Partido Comunista do Brasil,PC do B,125
MACAPÁ,Vereador,06/10/2024,ENFERMEIRO TYAGO,Partido Comunista do Brasil,PC do B,324
MACAPÁ,Vereador,06/10/2024,RAI COELHO,Partido Comunista do Brasil,PC do B,40
MACAPÁ,Vereador,06/10/2024,RAI COELHO,Partido Comunista do Brasil,PC do B,12
MACAPÁ,Vereador,06/10/2024,SID DO SOPÃO,Partido Comunista do Brasil,PC do B,95
MACAPÁ,Vereador,06/10/2024,SID DO SOPÃO,Partido Comunista do Brasil,PC do B,508
MACAPÁ,Vereador,06/10/2024,LUIZ PINGARILHO,Partido Comunista do Brasil,PC do B,354
MACAPÁ,Vereador,06/10/2024,LUIZ PINGARILHO,Partido Comunista do Brasil,PC do B,317
MACAPÁ,Vereador,06/10/2024,ALEXANDRE FRANCO,Partido Comunista do Brasil,PC do B,70
MACAPÁ,Vereador,06/10/2024,ALEXANDRE FRANCO,Partido Comunista do Brasil,PC do B,56
MACAPÁ,Vereador,06/10/2024,JOSINEIDE BANDEIRA,Partido Comunista do Brasil,PC do B,44
MACAPÁ,Vereador,06/10/2024,JOSINEIDE BANDEIRA,Partido Comunista do Brasil,PC do B,86
MACAPÁ,Vereador,06/10/2024,SILVIA ARTESÃ,Partido Comunista do Brasil,PC do B,14
MACAPÁ,Vereador,06/10/2024,SILVIA ARTESÃ,Partido Comunista do Brasil,PC do B,3
MACAPÁ,Vereador,06/10/2024,MARI RIBEIRO,Partido Comunista do Brasil,PC do B,24
MACAPÁ,Vereador,06/10/2024,MARI RIBEIRO,Partido Comunista do Brasil,PC do B,32
MACAPÁ,Vereador,06/10/2024,MARAINA MARTINS,Rede Sustentabilidade,REDE,1708
MACAPÁ,Vereador,06/10/2024,MARAINA MARTINS,Rede Sustentabilidade,REDE,2231
MACAPÁ,Vereador,06/10/2024,PROFESSOR FRANCISCO,Rede Sustentabilidade,REDE,2
MACAPÁ,Vereador,06/10/2024,PROFESSOR FRANCISCO,Rede Sustentabilidade,REDE,5
MACAPÁ,Vereador,06/10/2024,CRISTIANO FURLAN,Rede Sustentabilidade,REDE,2324
MACAPÁ,Vereador,06/10/2024,CRISTIANO FURLAN,Rede Sustentabilidade,REDE,1557
MACAPÁ,Vereador,06/10/2024,ISA SAMPAIO,Rede Sustentabilidade,REDE,16
MACAPÁ,Vereador,06/10/2024,ISA SAMPAIO,Rede Sustentabilidade,REDE,26
MACAPÁ,Vereador,06/10/2024,DANIELE FRAZÃO,Rede Sustentabilidade,REDE,19
MACAPÁ,Vereador,06/10/2024,DANIELE FRAZÃO,Rede Sustentabilidade,REDE,13
MACAPÁ,Vereador,06/10/2024,RAMONN LEITE,Rede Sustentabilidade,REDE,168
MACAPÁ,Vereador,06/10/2024,RAMONN LEITE,Rede Sustentabilidade,REDE,107
MACAPÁ,Vereador,06/10/2024,ANDRÉ LIMA,Rede Sustentabilidade,REDE,1445
MACAPÁ,Vereador,06/10/2024,ANDRÉ LIMA,Rede Sustentabilidade,REDE,1204
MACAPÁ,Vereador,06/10/2024,HILDO,Rede Sustentabilidade,REDE,0
MACAPÁ,Vereador,06/10/2024,HILDO,Rede Sustentabilidade,REDE,24
MACAPÁ,Vereador,06/10/2024,PROFESSOR  BIRA,Rede Sustentabilidade,REDE,955
MACAPÁ,Vereador,06/10/2024,PROFESSOR  BIRA,Rede Sustentabilidade,REDE,534
MACAPÁ,Vereador,06/10/2024,HELDER CARNEIRO,Rede Sustentabilidade,REDE,359
MACAPÁ,Vereador,06/10/2024,HELDER CARNEIRO,Rede Sustentabilidade,REDE,485
MACAPÁ,Vereador,06/10/2024,YASMYN BENTES,Rede Sustentabilidade,REDE,162
MACAPÁ,Vereador,06/10/2024,YASMYN BENTES,Rede Sustentabilidade,REDE,133
MACAPÁ,Vereador,06/10/2024,DR ALBERTO NEGRÃO,Rede Sustentabilidade,REDE,1229
MACAPÁ,Vereador,06/10/2024,DR ALBERTO NEGRÃO,Rede Sustentabilidade,REDE,574
MACAPÁ,Vereador,06/10/2024,HARI VIEGAS,Rede Sustentabilidade,REDE,190
MACAPÁ,Vereador,06/10/2024,HARI VIEGAS,Rede Sustentabilidade,REDE,84
PRACUÚBA,Vereador,06/10/2024,BARTÔ,REPUBLICANOS,REPUBLICANOS,209
PRACUÚBA,Vereador,06/10/2024,ABMAEL BELO,REPUBLICANOS,REPUBLICANOS,191
PRACUÚBA,Vereador,06/10/2024,EUNICE,REPUBLICANOS,REPUBLICANOS,158
PRACUÚBA,Vereador,06/10/2024,JOIANE LINS,REPUBLICANOS,REPUBLICANOS,9
PRACUÚBA,Vereador,06/10/2024,NILTON,REPUBLICANOS,REPUBLICANOS,150
PRACUÚBA,Vereador,06/10/2024,MARCELO ALVES,REPUBLICANOS,REPUBLICANOS,125
PRACUÚBA,Vereador,06/10/2024,ROMÁRIO,REPUBLICANOS,REPUBLICANOS,18
PRACUÚBA,Vereador,06/10/2024,GEISE MELO,REPUBLICANOS,REPUBLICANOS,59
PRACUÚBA,Vereador,06/10/2024,AMORAS,REPUBLICANOS,REPUBLICANOS,45
PRACUÚBA,Vereador,06/10/2024,VANDILÉIA OLIVEIRA,Partido Democrático Trabalhista,PDT,65
PRACUÚBA,Vereador,06/10/2024,MARCOS FILHO,Partido Democrático Trabalhista,PDT,18
PRACUÚBA,Vereador,06/10/2024,RAI,Partido Democrático Trabalhista,PDT,8
PRACUÚBA,Vereador,06/10/2024,CASSIO SILVA,Podemos,PODE,145
PRACUÚBA,Vereador,06/10/2024,CLEIDISON,Podemos,PODE,0
PRACUÚBA,Vereador,06/10/2024,BIGUI,Podemos,PODE,86
PRACUÚBA,Vereador,06/10/2024,ADRIANA,Podemos,PODE,12
PRACUÚBA,Vereador,06/10/2024,MAIARA MARQUES,Podemos,PODE,12
PRACUÚBA,Vereador,06/10/2024,ZAQUEU MORAIS,Podemos,PODE,9
PRACUÚBA,Vereador,06/10/2024,ELIVALDO MACIEL,Podemos,PODE,11
PRACUÚBA,Vereador,06/10/2024,JEANDRA SOARES,Podemos,PODE,57
PRACUÚBA,Vereador,06/10/2024,ADORILDO DIAS,Podemos,PODE,76
PRACUÚBA,Vereador,06/10/2024,ROSINEI BARBOSA,Podemos,PODE,8
PRACUÚBA,Vereador,06/10/2024,BIANCA PASSOS,Partido Liberal,PL,161
PRACUÚBA,Vereador,06/10/2024,JOELSON DOS ANJOS,Partido Liberal,PL,133
PRACUÚBA,Vereador,06/10/2024,IVAN PENHA,Partido Liberal,PL,29
PRACUÚBA,Vereador,06/10/2024,ADAELSON BRITO,Partido Liberal,PL,112
PRACUÚBA,Vereador,06/10/2024,IRMÃO ANGELO,Partido Liberal,PL,84
PRACUÚBA,Vereador,06/10/2024,NIZE,Partido Liberal,PL,75
PRACUÚBA,Vereador,06/10/2024,FRANK NELSON,Partido Liberal,PL,87
PRACUÚBA,Vereador,06/10/2024,AMIGO JOSUÉ,Partido Liberal,PL,74
PRACUÚBA,Vereador,06/10/2024,TATIANY SOUZA,Partido Liberal,PL,64
PRACUÚBA,Vereador,06/10/2024,MAGAVE,Partido Liberal,PL,51
PRACUÚBA,Vereador,06/10/2024,RONÉRIO BRITO,Partido Renovação Democrática,PRD,2
PRACUÚBA,Vereador,06/10/2024,SARGENTO ERASTON,Partido Renovação Democrática,PRD,7
PRACUÚBA,Vereador,06/10/2024,FRANCIANE PIRES,Partido Renovação Democrática,PRD,11
PRACUÚBA,Vereador,06/10/2024,NEI,União Brasil,UNIÃO,121
PRACUÚBA,Vereador,06/10/2024,LENGO,União Brasil,UNIÃO,191
PRACUÚBA,Vereador,06/10/2024,TIRANA,União Brasil,UNIÃO,102
PRACUÚBA,Vereador,06/10/2024,ÁRINA GURJÃO,União Brasil,UNIÃO,19
CALÇOENE,Vereador,06/10/2024,RUTH PAIXÃO,Partido dos Trabalhadores,PT,20
CALÇOENE,Vereador,06/10/2024,CAMELÔ,Partido dos Trabalhadores,PT,149
CALÇOENE,Vereador,06/10/2024,NETO COSTA,Partido dos Trabalhadores,PT,117
CALÇOENE,Vereador,06/10/2024,PROFESSORA LINDA VIANA,Partido dos Trabalhadores,PT,118
CALÇOENE,Vereador,06/10/2024,LUCAS MARANHÃO,Partido dos Trabalhadores,PT,134
CALÇOENE,Vereador,06/10/2024,GLEU DA PESCA,Partido Verde,PV,217
CALÇOENE,Vereador,06/10/2024,PROFESSOR CARLENO,Partido Verde,PV,214
CALÇOENE,Vereador,06/10/2024,CLEITON MORAIS,Partido Verde,PV,85
CALÇOENE,Vereador,06/10/2024,GILDETE ALEIXO,Partido Verde,PV,112
CALÇOENE,Vereador,06/10/2024,MARCIO DA LOJA,REPUBLICANOS,REPUBLICANOS,205
CALÇOENE,Vereador,06/10/2024,MICHELLE GAMA,REPUBLICANOS,REPUBLICANOS,19
CALÇOENE,Vereador,06/10/2024,ANGELA MONTEIRO,REPUBLICANOS,REPUBLICANOS,33
CALÇOENE,Vereador,06/10/2024,JANAÍNA DA SAÚDE,REPUBLICANOS,REPUBLICANOS,66
CALÇOENE,Vereador,06/10/2024,ROSIEL MAGAVE,REPUBLICANOS,REPUBLICANOS,85
CALÇOENE,Vereador,06/10/2024,PROF TONINHO BARATA,REPUBLICANOS,REPUBLICANOS,127
CALÇOENE,Vereador,06/10/2024,DELVANES,REPUBLICANOS,REPUBLICANOS,162
CALÇOENE,Vereador,06/10/2024,NATANAEL ROCHA,REPUBLICANOS,REPUBLICANOS,68
CALÇOENE,Vereador,06/10/2024,NILDO MOTOS,Partido Democrático Trabalhista,PDT,342
CALÇOENE,Vereador,06/10/2024,ALAN LINS,Partido Democrático Trabalhista,PDT,17
CALÇOENE,Vereador,06/10/2024,NILSINHO PESCADOR,Partido Democrático Trabalhista,PDT,158
CALÇOENE,Vereador,06/10/2024,KEILA MARQUES,Partido Democrático Trabalhista,PDT,13
CALÇOENE,Vereador,06/10/2024,NONATO SOUSA,Partido Democrático Trabalhista,PDT,330
CALÇOENE,Vereador,06/10/2024,ARIENE,Partido Democrático Trabalhista,PDT,76
CALÇOENE,Vereador,06/10/2024,JACK MARQUES,Movimento Democrático Brasileiro,MDB,62
CALÇOENE,Vereador,06/10/2024,PASTORA NÉIA,Movimento Democrático Brasileiro,MDB,24
CALÇOENE,Vereador,06/10/2024,PICANÇO,Movimento Democrático Brasileiro,MDB,12
CALÇOENE,Vereador,06/10/2024,BUTT,Movimento Democrático Brasileiro,MDB,126
CALÇOENE,Vereador,06/10/2024,ANINHA,Movimento Democrático Brasileiro,MDB,82
CALÇOENE,Vereador,06/10/2024,LIMA DO LOURENÇO,Movimento Democrático Brasileiro,MDB,65
CALÇOENE,Vereador,06/10/2024,BETO,Movimento Democrático Brasileiro,MDB,136
CALÇOENE,Vereador,06/10/2024,WESLEY ALEX,Partido Liberal,PL,827
CALÇOENE,Vereador,06/10/2024,PUCUIÚ,Partido Liberal,PL,263
CALÇOENE,Vereador,06/10/2024,JOABE SILVA,Partido Liberal,PL,179
CALÇOENE,Vereador,06/10/2024,ASSIS SILVA,Partido Liberal,PL,47
CALÇOENE,Vereador,06/10/2024,RAI BARBOSA,Partido Liberal,PL,103
CALÇOENE,Vereador,06/10/2024,ENTROSADO,Partido Liberal,PL,147
MACAPÁ,Vereador,06/10/2024,FLEUR DUARTE,Rede Sustentabilidade,REDE,123
MACAPÁ,Vereador,06/10/2024,FLEUR DUARTE,Rede Sustentabilidade,REDE,255
MACAPÁ,Vereador,06/10/2024,CRIS NUNES,Rede Sustentabilidade,REDE,89
MACAPÁ,Vereador,06/10/2024,CRIS NUNES,Rede Sustentabilidade,REDE,41
MACAPÁ,Vereador,06/10/2024,MARA MENESCAL,Rede Sustentabilidade,REDE,89
MACAPÁ,Vereador,06/10/2024,MARA MENESCAL,Rede Sustentabilidade,REDE,244
MACAPÁ,Vereador,06/10/2024,DANIEL THEODORO,Partido Socialismo e Liberdade,PSOL,1910
MACAPÁ,Vereador,06/10/2024,DANIEL THEODORO,Partido Socialismo e Liberdade,PSOL,2632
MACAPÁ,Vereador,06/10/2024,NETO MEDEIROS,Partido Socialismo e Liberdade,PSOL,403
MACAPÁ,Vereador,06/10/2024,NETO MEDEIROS,Partido Socialismo e Liberdade,PSOL,603
MACAPÁ,Vereador,06/10/2024,MICHELI MIRANDA,Partido Socialismo e Liberdade,PSOL,37
MACAPÁ,Vereador,06/10/2024,MICHELI MIRANDA,Partido Socialismo e Liberdade,PSOL,49
MACAPÁ,Vereador,06/10/2024,CECEU,Partido Socialismo e Liberdade,PSOL,173
MACAPÁ,Vereador,06/10/2024,CECEU,Partido Socialismo e Liberdade,PSOL,22
MACAPÁ,Vereador,06/10/2024,CRISTIANO LUCENA,Partido Socialismo e Liberdade,PSOL,81
MACAPÁ,Vereador,06/10/2024,CRISTIANO LUCENA,Partido Socialismo e Liberdade,PSOL,40
MACAPÁ,Vereador,06/10/2024,RUZIVAN,REPUBLICANOS,REPUBLICANOS,1579
MACAPÁ,Vereador,06/10/2024,RUZIVAN,REPUBLICANOS,REPUBLICANOS,1064
MACAPÁ,Vereador,06/10/2024,JONISSON GELIMPO,REPUBLICANOS,REPUBLICANOS,5
MACAPÁ,Vereador,06/10/2024,JONISSON GELIMPO,REPUBLICANOS,REPUBLICANOS,108
MACAPÁ,Vereador,06/10/2024,KAROL MARQUES,REPUBLICANOS,REPUBLICANOS,92
MACAPÁ,Vereador,06/10/2024,KAROL MARQUES,REPUBLICANOS,REPUBLICANOS,147
MACAPÁ,Vereador,06/10/2024,ALINE MEDEIROS,REPUBLICANOS,REPUBLICANOS,971
MACAPÁ,Vereador,06/10/2024,ALINE MEDEIROS,REPUBLICANOS,REPUBLICANOS,700
MACAPÁ,Vereador,06/10/2024,JOSI,REPUBLICANOS,REPUBLICANOS,65
MACAPÁ,Vereador,06/10/2024,JOSI,REPUBLICANOS,REPUBLICANOS,20
MACAPÁ,Vereador,06/10/2024,ROMARIO GPE,REPUBLICANOS,REPUBLICANOS,52
MACAPÁ,Vereador,06/10/2024,ROMARIO GPE,REPUBLICANOS,REPUBLICANOS,125
MACAPÁ,Vereador,06/10/2024,O OBREIRO DE FÉ,REPUBLICANOS,REPUBLICANOS,3
MACAPÁ,Vereador,06/10/2024,O OBREIRO DE FÉ,REPUBLICANOS,REPUBLICANOS,4
MACAPÁ,Vereador,06/10/2024,CRISTINA CARVALHO,REPUBLICANOS,REPUBLICANOS,65
MACAPÁ,Vereador,06/10/2024,CRISTINA CARVALHO,REPUBLICANOS,REPUBLICANOS,85
MACAPÁ,Vereador,06/10/2024,PEQUILO,REPUBLICANOS,REPUBLICANOS,325
MACAPÁ,Vereador,06/10/2024,PEQUILO,REPUBLICANOS,REPUBLICANOS,122
MACAPÁ,Vereador,06/10/2024,SANDRA OHANA,REPUBLICANOS,REPUBLICANOS,418
MACAPÁ,Vereador,06/10/2024,SANDRA OHANA,REPUBLICANOS,REPUBLICANOS,274
MACAPÁ,Vereador,06/10/2024,FERNANDA MARROQUE,REPUBLICANOS,REPUBLICANOS,82
PRACUÚBA,Vereador,06/10/2024,PROF LUCI BRITO,União Brasil,UNIÃO,78
PRACUÚBA,Vereador,06/10/2024,JUVELINO MAGAVE,União Brasil,UNIÃO,30
PRACUÚBA,Vereador,06/10/2024,DARINTO,União Brasil,UNIÃO,100
PRACUÚBA,Vereador,06/10/2024,JÂNIELI MAGAVE,União Brasil,UNIÃO,36
PRACUÚBA,Vereador,06/10/2024,JOELSON GOMES,União Brasil,UNIÃO,93
PRACUÚBA,Vereador,06/10/2024,ELINALVA DIAS,União Brasil,UNIÃO,106
PRACUÚBA,Vereador,06/10/2024,DEDÉ PONTES,Partido Social Democrático,PSD,86
PRACUÚBA,Vereador,06/10/2024,HENRIQUE,Partido Social Democrático,PSD,12
PRACUÚBA,Vereador,06/10/2024,LIETH PANTALEAO,Partido Social Democrático,PSD,37
PRACUÚBA,Vereador,06/10/2024,LENE,Partido Social Democrático,PSD,6
PRACUÚBA,Vereador,06/10/2024,ADAILSON DIAS,Partido Social Democrático,PSD,34
PRACUÚBA,Vereador,06/10/2024,MAURO FARIAS,Partido Social Democrático,PSD,15
PRACUÚBA,Vereador,06/10/2024,OBEDE,Partido Social Democrático,PSD,10
PRACUÚBA,Vereador,06/10/2024,JOSI VILHENA,Partido Social Democrático,PSD,11
PRACUÚBA,Vereador,06/10/2024,CARLINHOS OLIVEIRA,Partido Social Democrático,PSD,48
PRACUÚBA,Vereador,06/10/2024,BADECO,Partido Social Democrático,PSD,83
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,IRMÃO JOEL,Partido dos Trabalhadores,PT,0
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,TIÃO BRITO REINVENTADO,Partido dos Trabalhadores,PT,0
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,LANA MIRANDA,Partido dos Trabalhadores,PT,0
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,KETTO,Partido dos Trabalhadores,PT,0
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,AZUL,Partido dos Trabalhadores,PT,0
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,CRIS NUTRICIONISTA,PROGRESSISTAS,PP,396
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,IRMÃO CARDOSO,PROGRESSISTAS,PP,262
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,ELDER LIMA,PROGRESSISTAS,PP,83
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,RENILDE DA EMPRESA,PROGRESSISTAS,PP,60
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,MOTÃ WAIÃPI,PROGRESSISTAS,PP,203
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,PROFESSORA AURINIR,PROGRESSISTAS,PP,39
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,ARRUDA ZEZINHO,PROGRESSISTAS,PP,19
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,VALDIR DO SPORT BAR,PROGRESSISTAS,PP,200
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,ENFERMEIRO ISRAEL,PROGRESSISTAS,PP,172
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,JADSON POTÊNCIA,PROGRESSISTAS,PP,49
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,LUIZA ALMEIDA,Podemos,PODE,0
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,EDIVALDO VALADARES,Podemos,PODE,35
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,HELL CASTRO,Podemos,PODE,3
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,IGOR GBR,Podemos,PODE,51
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,LANNA LAMEIRA,Podemos,PODE,62
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,GECIANE SOUSA,Podemos,PODE,136
PEDRA BRANCA DO AMAPARI,Vereador,06/10/2024,PROF WELVISOM,Podemos,PODE,62
TARTARUGALZINHO,Vereador,06/10/2024,VALDINEY SOARES,Partido dos Trabalhadores,PT,63
TARTARUGALZINHO,Vereador,06/10/2024,PEPÊ DIAS,Partido dos Trabalhadores,PT,4
TARTARUGALZINHO,Vereador,06/10/2024,MARIA RODRIGUES,Partido dos Trabalhadores,PT,1
TARTARUGALZINHO,Vereador,06/10/2024,PROFESSOR MARCIO BRITO,Partido dos Trabalhadores,PT,50
TARTARUGALZINHO,Vereador,06/10/2024,NELINHO BRITO,Partido dos Trabalhadores,PT,6
TARTARUGALZINHO,Vereador,06/10/2024,IUANNE FIGUEIREDO,Partido Democrático Trabalhista,PDT,328
TARTARUGALZINHO,Vereador,06/10/2024,LÚ TRINDADE,Partido Democrático Trabalhista,PDT,152
TARTARUGALZINHO,Vereador,06/10/2024,ISAAC,Partido Democrático Trabalhista,PDT,49
TARTARUGALZINHO,Vereador,06/10/2024,NATALLIA ESPIGA,Partido Democrático Trabalhista,PDT,0
TARTARUGALZINHO,Vereador,06/10/2024,JÚNIOR VILHENA,Partido Democrático Trabalhista,PDT,36
TARTARUGALZINHO,Vereador,06/10/2024,IRMÃ ELOIR,Partido Democrático Trabalhista,PDT,84
