NM_MUNICIPIO,DS_CARGO,DT_ELEICAO,NM_URNA_CANDIDATO,NM_PARTIDO,SG_PARTIDO,QT_VOTOS_NOMINAIS
SANTANA,Vereador,06/10/2024,MILA,Partido Liberal,PL,69
SANTANA,Vereador,06/10/2024,CATARINA,Partido Liberal,PL,570
SANTANA,Vereador,06/10/2024,AMAURI BARROS,Partido Renovação Democrática,PRD,3
SANTANA,Vereador,06/10/2024,DANIEL E SILVA,Partido Renovação Democrática,PRD,1
SANTANA,Vereador,06/10/2024,FABIO UCHÔA,Partido Renovação Democrática,PRD,76
SANTANA,Vereador,06/10/2024,JAIMISON VIANA,Partido Renovação Democrática,PRD,62
SANTANA,Vereador,06/10/2024,KEILA FASCIO,Partido Renovação Democrática,PRD,540
SANTANA,Vereador,06/10/2024,DR KLEBER,Partido Renovação Democrática,PRD,146
SANTANA,Vereador,06/10/2024,ZÉ FIGUEIREDO,Partido Renovação Democrática,PRD,36
SANTANA,Vereador,06/10/2024,KAMILA CORTES,Partido Renovação Democrática,PRD,480
SANTANA,Vereador,06/10/2024,THAIS ANDRADE,Partido Renovação Democrática,PRD,8
SANTANA,Vereador,06/10/2024,DORA MAKATHINEY,Partido Renovação Democrática,PRD,391
SANTANA,Vereador,06/10/2024,JONAS SILVA,Partido Renovação Democrática,PRD,260
SANTANA,Vereador,06/10/2024,MAX ALVES,Partido Renovação Democrática,PRD,10
SANTANA,Vereador,06/10/2024,LOIRA DO CHAPÉU,Partido Renovação Democrática,PRD,22
SANTANA,Vereador,06/10/2024,WANDSON DA GUARDA,Partido Renovação Democrática,PRD,46
SANTANA,Vereador,06/10/2024,PROFESSOR ALEX ASSUNÇÃO,Partido Renovação Democrática,PRD,33
SANTANA,Vereador,06/10/2024,NILDO RODRIGUES,União Brasil,UNIÃO,1795
SANTANA,Vereador,06/10/2024,ROSINEIDE,União Brasil,UNIÃO,53
SANTANA,Vereador,06/10/2024,PASTOR ZEZINHO,União Brasil,UNIÃO,120
SANTANA,Vereador,06/10/2024,NAZA OLIVEIRA,União Brasil,UNIÃO,180
SANTANA,Vereador,06/10/2024,CARDOSO,União Brasil,UNIÃO,54
SANTANA,Vereador,06/10/2024,VILSON SENA,União Brasil,UNIÃO,324
SANTANA,Vereador,06/10/2024,PR ALFAIA,União Brasil,UNIÃO,6
SANTANA,Vereador,06/10/2024,ARY,União Brasil,UNIÃO,1411
PORTO GRANDE,Vereador,06/10/2024,NETO,Solidariedade,SOLIDARIEDADE,107
PORTO GRANDE,Vereador,06/10/2024,ALESSANDRO LOBATO,Solidariedade,SOLIDARIEDADE,128
PORTO GRANDE,Vereador,06/10/2024,TABATA SILVIA,Solidariedade,SOLIDARIEDADE,14
PORTO GRANDE,Vereador,06/10/2024,PROFESSOR EMILSON RAMOS,Solidariedade,SOLIDARIEDADE,130
PORTO GRANDE,Vereador,06/10/2024,MARCÃO DO RUBÃO,Solidariedade,SOLIDARIEDADE,229
PORTO GRANDE,Vereador,06/10/2024,LUZA MORAES,Solidariedade,SOLIDARIEDADE,113
PORTO GRANDE,Vereador,06/10/2024,VÂNIA SILVA,Solidariedade,SOLIDARIEDADE,64
PORTO GRANDE,Vereador,06/10/2024,DEUSINHO DO NOVA COLINA,Solidariedade,SOLIDARIEDADE,176
PORTO GRANDE,Vereador,06/10/2024,CARECA SOCIETY,Solidariedade,SOLIDARIEDADE,90
PORTO GRANDE,Vereador,06/10/2024,LUIZ BRITO,Solidariedade,SOLIDARIEDADE,41
SANTANA,Prefeito,06/10/2024,RARIOMAR RARIDADE,Partido da Social Democracia Brasileira,PSDB,526
SANTANA,Prefeito,06/10/2024,BALA ROCHA,PROGRESSISTAS,PP,43711
SANTANA,Prefeito,06/10/2024,PROFESSOR ZÉ ROBERTO,Podemos,PODE,14091
SANTANA,Prefeito,06/10/2024,NENEM DO FRANGO,Partido Renovação Democrática,PRD,6469
SANTANA,Vereador,06/10/2024,PROFESSORA CRISTINA,União Brasil,UNIÃO,16
SANTANA,Vereador,06/10/2024,DRA KÁTIA,União Brasil,UNIÃO,1447
SANTANA,Vereador,06/10/2024,ABACATE,União Brasil,UNIÃO,71
SANTANA,Vereador,06/10/2024,OFIR SADALA,União Brasil,UNIÃO,1334
SANTANA,Vereador,06/10/2024,PROF ASSIS,Partido Social Democrático,PSD,957
SANTANA,Vereador,06/10/2024,TENENTE NELSON JUNIOR,Partido Social Democrático,PSD,445
SANTANA,Vereador,06/10/2024,CRIS DA ANASTACIA,Partido Social Democrático,PSD,209
SANTANA,Vereador,06/10/2024,MARCIO GAIA,Partido Social Democrático,PSD,378
SANTANA,Vereador,06/10/2024,NEIDE DA SAÚDE,Partido Social Democrático,PSD,409
SANTANA,Vereador,06/10/2024,ROBSON COUTINHO,Partido Social Democrático,PSD,678
SANTANA,Vereador,06/10/2024,LOURO ELETRECISTA,Partido Social Democrático,PSD,344
SANTANA,Vereador,06/10/2024,TCHUCALA,Partido Social Democrático,PSD,18
SANTANA,Vereador,06/10/2024,CAROL CARDOZO,Partido Social Democrático,PSD,25
SANTANA,Vereador,06/10/2024,PROF GETTE,Partido Social Democrático,PSD,208
SANTANA,Vereador,06/10/2024,ENF CIRDIANI,Partido Social Democrático,PSD,148
SANTANA,Vereador,06/10/2024,PROF EVANILSON,Partido Social Democrático,PSD,356
SANTANA,Vereador,06/10/2024,ANNY BRANDÃO,Partido Social Democrático,PSD,32
SANTANA,Vereador,06/10/2024,ELINDOMAR SILVA,Partido Social Democrático,PSD,118
SANTANA,Vereador,06/10/2024,WILTON MORAES,Partido Social Democrático,PSD,10
SANTANA,Vereador,06/10/2024,RARISON SANTIAGO,Solidariedade,SOLIDARIEDADE,2653
SANTANA,Vereador,06/10/2024,ITHIARA MADUREIRA,Solidariedade,SOLIDARIEDADE,2817
SANTANA,Vereador,06/10/2024,HELENA LIMA,Solidariedade,SOLIDARIEDADE,1927
SANTANA,Vereador,06/10/2024,MARIO JUNIOR,Solidariedade,SOLIDARIEDADE,1292
SANTANA,Vereador,06/10/2024,PROFESSOR MAIA,Solidariedade,SOLIDARIEDADE,136
SANTANA,Vereador,06/10/2024,JOSUE PINHO,Solidariedade,SOLIDARIEDADE,122
SANTANA,Vereador,06/10/2024,ESTEFANY MARTINS,Solidariedade,SOLIDARIEDADE,42
SANTANA,Vereador,06/10/2024,JAILSON MATOS,Solidariedade,SOLIDARIEDADE,858
SANTANA,Vereador,06/10/2024,AMIGO VIANA,Solidariedade,SOLIDARIEDADE,116
SANTANA,Vereador,06/10/2024,DINAMAR,Solidariedade,SOLIDARIEDADE,99
SANTANA,Vereador,06/10/2024,IVAN SANTOS,Solidariedade,SOLIDARIEDADE,321
SANTANA,Vereador,06/10/2024,FATIMA PENA,Solidariedade,SOLIDARIEDADE,109
SANTANA,Vereador,06/10/2024,PROFESSORA LUCY SANTOS,Solidariedade,SOLIDARIEDADE,91
SANTANA,Vereador,06/10/2024,MARCELO CAVALCANTE,Solidariedade,SOLIDARIEDADE,102
SANTANA,Vereador,06/10/2024,PROFESSOR JAILSON,Solidariedade,SOLIDARIEDADE,519
